INFO:root:1860,2,0.02,1.04,1742117.69,0.154606861,9.631598901
INFO:root:1860,2,0.02,1.05,1742117.69,0.154606861,9.631598901
INFO:root:1860,2,0.02,1.03,1731088.67,0.152545714,9.631598901
INFO:root:1980,2,0.02,1.05,1715720.36,0.151165936,9.497546845
INFO:root:1980,2,0.02,1.04,1715720.36,0.151165936,9.497546845
INFO:root:1740,2,0.02,1.05,1708471.61,0.148445768,8.014037048
INFO:root:1740,2,0.02,1.04,1708471.61,0.148445768,8.014037048
INFO:root:1980,2,0.02,1.03,1695766.06,0.147241297,9.497546845
INFO:root:1740,2,0.02,1.03,1698359.06,0.146514163,8.014037048
INFO:root:2220,2,0.02,1.04,1670994.1,0.143834884,9.54981664
INFO:root:2220,2,0.02,1.05,1670994.1,0.143834884,9.54981664
INFO:root:1860,2,0.02,1.02,1676379.45,0.142286855,10.65674283
INFO:root:2220,2,0.02,1.03,1661948.2,0.141859138,9.54981664
INFO:root:2220,2,0.02,1.02,1655666.85,0.140662223,9.453378702
INFO:root:1740,2,0.02,1.02,1666688.56,0.14053332,8.0284907
INFO:root:1980,2,0.02,1.02,1649819.08,0.138496308,10.3248891
INFO:root:1740,3,0.02,1.02,1512657.63,0.137657069,6.238202643
INFO:root:1980,3,0.05,1.02,1913777.02,0.137237856,11.83617943
INFO:root:2100,2,0.02,1.04,1635426.27,0.136539244,10.350148
INFO:root:2100,2,0.02,1.05,1635426.27,0.136539244,10.350148
INFO:root:1740,2,0.05,1.01,1936704.82,0.135115187,11.75384584
INFO:root:2100,2,0.02,1.03,1624849.76,0.134504711,10.350148
INFO:root:1740,3,0.02,1.05,1494907.91,0.13388201,6.242410291
INFO:root:1980,3,0.03,1.02,1680792.09,0.133474444,8.426488548
INFO:root:1980,3,0.02,1.02,1485879.43,0.133218419,6.776546056
INFO:root:2100,3,0.03,1.01,1637065.85,0.133122432,6.947719422
INFO:root:1740,3,0.03,1.02,1679269.04,0.132978965,8.688709529
INFO:root:1620,3,0.02,1.02,1494072.96,0.132642112,7.030600597
INFO:root:1860,2,0.04,1.01,1886142.09,0.132247429,9.411831279
INFO:root:1860,2,0.03,1.01,1760601.31,0.132015725,9.605685067
